"crops","unit","geo","time","values"
"V0000","T","BE","2017",31889
"V0000","T","BG","2017",6026
"V0000","T","CY","2017",786
"V0000","T","CZ","2017",1541
"V0000","T","DE","2017",337220
"V0000","T","EE","2017",619
"V0000","T","EL","2017",40941
"V0000","T","ES","2017",323273
"V0000","T","FI","2017",3033
"V0000","T","HR","2017",1403
"V0000","T","HU","2017",15047
"V0000","T","LT","2017",2736
"V0000","T","LV","2017",2025
"V0000","T","MT","2017",11
"V0000","T","NL","2017",239154
"V0000","T","PL","2017",50627
"V0000","T","RS","2017",1166
"V0000","T","SK","2017",447
"V0000","T","UK","2017",42967
"V0000","T","BE","2016",22746
"V0000","T","BG","2016",13121
"V0000","T","CY","2016",637
"V0000","T","CZ","2016",912
"V0000","T","DE","2016",299493
"V0000","T","EE","2016",582
"V0000","T","EL","2016",34022
"V0000","T","ES","2016",286075
"V0000","T","FI","2016",2942
"V0000","T","HR","2016",1409
"V0000","T","HU","2016",10562
"V0000","T","IE","2016",4072
"V0000","T","IT","2016",435979
"V0000","T","LT","2016",1188
"V0000","T","LV","2016",2291
"V0000","T","MT","2016",14
"V0000","T","NL","2016",195359
"V0000","T","PL","2016",45798
"V0000","T","RO","2016",3321
"V0000","T","RS","2016",2667
"V0000","T","SI","2016",1746
"V0000","T","SK","2016",824
"V0000","T","TR","2016",32943
"V0000","T","UK","2016",42319
"V0000","T","BG","2015",12112
"V0000","T","CY","2015",669
"V0000","T","CZ","2015",1453
"V0000","T","DE","2015",253708
"V0000","T","EE","2015",585
"V0000","T","EL","2015",63645
"V0000","T","ES","2015",217148
"V0000","T","FI","2015",2911
"V0000","T","HR","2015",1372
"V0000","T","HU","2015",9200
"V0000","T","IE","2015",2923
"V0000","T","IT","2015",252255
"V0000","T","LT","2015",953
"V0000","T","LV","2015",1819
"V0000","T","MT","2015",23
"V0000","T","NL","2015",420841
"V0000","T","PL","2015",35088
"V0000","T","RO","2015",3639
"V0000","T","RS","2015",3417
"V0000","T","SI","2015",1573
"V0000","T","SK","2015",759
"V0000","T","TR","2015",23720
"V0000","T","UK","2015",43907
"V0000","T","BG","2014",9705
"V0000","T","CY","2014",656
"V0000","T","CZ","2014",1158
"V0000","T","DE","2014",272116
"V0000","T","EE","2014",671
"V0000","T","EL","2014",138549
"V0000","T","ES","2014",202737
"V0000","T","FI","2014",3528
"V0000","T","HR","2014",864
"V0000","T","HU","2014",9876
"V0000","T","IT","2014",251174
"V0000","T","LT","2014",625
"V0000","T","LV","2014",2193
"V0000","T","MT","2014",1
"V0000","T","PL","2014",30216
"V0000","T","RO","2014",2315
"V0000","T","RS","2014",1487
"V0000","T","SI","2014",1411
"V0000","T","SK","2014",781
"V0000","T","TR","2014",28346
"V0000","T","UK","2014",44735
"V0000","T","BG","2013",5428
"V0000","T","CY","2013",779
"V0000","T","CZ","2013",1602
"V0000","T","DE","2013",244473
"V0000","T","EE","2013",687
"V0000","T","EL","2013",55099
"V0000","T","ES","2013",154409
"V0000","T","FI","2013",2839
"V0000","T","HR","2013",390
"V0000","T","HU","2013",11563
"V0000","T","LT","2013",580
"V0000","T","LV","2013",3006
"V0000","T","PL","2013",23888
"V0000","T","RS","2013",1130
"V0000","T","SI","2013",1218
"V0000","T","SK","2013",968
"V0000","T","TR","2013",33654
"V0000","T","UK","2013",25387
"V0000","T","CZ","2012",1272
"V0000","T","DE","2012",263140
"V0000","T","EE","2012",535
"V0000","T","ES","2012",184444
"V0000","T","FI","2012",2616
"V0000","T","HR","2012",827
"V0000","T","HU","2012",10107
"V0000","T","IT","2012",1464284
"V0000","T","LT","2012",596
"V0000","T","LV","2012",704
"V0000","T","PL","2012",19792
"V0000","T","SI","2012",702
